ComputerName,NIC,MAC,DHCP,AddressFamily,IPAddress,PrefixLength,Type,DefaultGateWay,DNSServerAddresses,VLAN
usyp-hpv01,Management,1C-C1-DE-23-3E-62,TRUE,IPv4,,24,Unicast,,,
usyp-hpv01,VM_Switch01,1C-C1-DE-23-3E-64,TRUE,,,24,Unicast,,,
usyp-hpv01,VM_Switch02,1C-C1-DE-23-3E-60,TRUE,,,24,Unicast,,,
usyp-hpv01,GateWay_Switch,1C-C1-DE-23-3E-5E,TRUE,,,24,Unicast,,,
usyp-hpv01,SMB_vlan430,00-90-FA-6A-E3-66,FALSE,IPv4,10.10.30.22,24,Unicast,,,430
usyp-hpv01,SMB_vlan431,00-90-FA-6A-E3-5E,FALSE,IPv4,10.10.31.22,24,Unicast,,,431
usyp-hpv02,Management,00-23-7D-E1-8C-16,TRUE,IPv4,,24,Unicast,,,
usyp-hpv02,VM_Switch01,00-23-7D-E1-8C-18,TRUE,,,24,Unicast,,,
usyp-hpv02,VM_Switch02,00-23-7D-E1-8C-14,TRUE,,,24,Unicast,,,
usyp-hpv02,GateWay_Switch,00-23-7D-E1-8C-1A,TRUE,,,24,Unicast,,,
usyp-hpv02,SMB_vlan430,00-90-FA-6A-E6-96,FALSE,IPv4,10.10.30.23,24,Unicast,,,430
usyp-hpv02,SMB_vlan431,00-90-FA-6A-E6-8E,FALSE,IPv4,10.10.31.23,24,Unicast,,,431
usyp-hpv03,Management,78-E7-D1-93-46-28,TRUE,IPv4,,24,Unicast,,,
usyp-hpv03,VM_Switch01,78-E7-D1-93-46-2A,TRUE,,,24,Unicast,,,
usyp-hpv03,VM_Switch02,78-E7-D1-93-46-26,TRUE,,,24,Unicast,,,
usyp-hpv03,GateWay_Switch,78-E7-D1-93-46-24,TRUE,,,24,Unicast,,,
usyp-hpv03,SMB_vlan430,00-90-FA-6A-E5-AE,FALSE,IPv4,10.10.30.24,24,Unicast,,,430
usyp-hpv03,SMB_vlan431,00-90-FA-6A-E5-B6,FALSE,IPv4,10.10.31.24,24,Unicast,,,431
usyp-hpv04,Management,78-E7-D1-93-31-10,TRUE,IPv4,,24,Unicast,,,
usyp-hpv04,VM_Switch01,78-E7-D1-93-31-0C,TRUE,,,24,Unicast,,,
usyp-hpv04,VM_Switch02,78-E7-D1-93-31-0E,TRUE,,,24,Unicast,,,
usyp-hpv04,GateWay_Switch,78-E7-D1-93-31-12,TRUE,,,24,Unicast,,,
usyp-hpv04,SMB_vlan430,00-90-FA-6A-E1-D6,FALSE,IPv4,10.10.30.25,24,Unicast,,,430
usyp-hpv04,SMB_vlan431,00-90-FA-6A-E1-CE,FALSE,IPv4,10.10.31.25,24,Unicast,,,431
usyp-hpv05,Management,00-25-B3-22-DB-FA,TRUE,IPv4,,24,Unicast,,,
usyp-hpv05,VM_Switch01,00-25-B3-22-DB-F8,TRUE,,,24,Unicast,,,
usyp-hpv05,VM_Switch02,00-25-B3-22-DB-FC,TRUE,,,24,Unicast,,,
usyp-hpv05,GateWay_Switch,00-25-B3-22-DB-FE,TRUE,,,24,Unicast,,,
usyp-hpv05,SMB_vlan430,00-90-FA-6A-E1-B6,FALSE,IPv4,10.10.30.26,24,Unicast,,,430
usyp-hpv05,SMB_vlan431,00-90-FA-6A-E1-AE,FALSE,IPv4,10.10.31.26,24,Unicast,,,431
