ComputerName,NIC,MAC,DHCP,AddressFamily,IPAddress,PrefixLength,Type,DefaultGateWay,DNSServerAddresses
is-hpv01,Management,00-0C-29-0C-CA-2B,FALSE,IPv4,192.168.1.16,24,Unicast,192.168.1.2,"192.168.1.6,192.168.1.8"
is-hpv01,VM_Switch01,00-0C-29-0C-CA-49,True,,,24,Unicast,,
is-hpv01,SMB_vlan20,00-0C-29-0C-CA-35,FALSE,IPv4,10.10.20.16,24,Unicast,,
is-hpv01,SMB_vlan21,00-0C-29-0C-CA-3F,FALSE,IPv4,10.10.21.16,24,Unicast,,
is-hpv02,Management,00-50-56-3F-53-2C,FALSE,IPv4,192.168.1.17,24,Unicast,192.168.1.2,"192.168.1.6,192.168.1.8"
is-hpv02,VM_Switch01,00-50-56-3E-7C-52,True,,,24,Unicast,,
is-hpv02,SMB_vlan20,00-50-56-20-50-C2,FALSE,IPv4,10.10.20.17,24,Unicast,,
is-hpv02,SMB_vlan21,00-50-56-2B-27-34,FALSE,IPv4,10.10.21.17,24,Unicast,,
is-hpv03,Management,,FALSE,IPv4,192.168.1.18,24,Unicast,192.168.1.2,"192.168.1.6,192.168.1.8"
is-hpv03,VM_Switch01,,True,,,24,Unicast,,
is-hpv03,SMB_vlan20,,FALSE,IPv4,10.10.20.18,24,Unicast,,
is-hpv03,SMB_vlan21,,FALSE,IPv4,10.10.21.18,24,Unicast,,
